market,status,country_code,state_code,region,city,funding_rounds,funding_total_usd,funded_quarter
Medical Devices,operating,USA,AZ,Tucson,Tucson,4,63016244,2011-Q4
Health Care,closed,USA,CT,Hartford,Guilford,1,150000,2011-Q3
Analytics,operating,USA,KS,Kansas City,Overland Park,2,8500000,2013-Q1
Enterprise Software,operating,USA,CA,Los Angeles,Los Angeles,3,4045500,2013-Q4
Software,operating,USA,WA,Seattle,Bellingham,3,5705841,2010-Q4
Software,operating,USA,KY,Louisville,Louisville,1,0,2013-Q1
Enterprise Software,operating,USA,CA,SF Bay Area,Palo Alto,2,13410901,2012-Q4
Transportation,operating,USA,CO,Colorado Springs,Colorado Springs,2,28500000,2014-Q1
Health and Wellness,operating,USA,CA,San Diego,Carlsbad,1,4000000,2010-Q1
Retail,operating,USA,FL,Tampa,Ruskin,1,0,2012-Q4
Career Management,acquired,USA,CA,SF Bay Area,Santa Clara,4,25305000,2014-Q1
Biotechnology,operating,USA,CO,Denver,Broomfield,5,138581610,2010-Q1
Payments,operating,USA,CA,Lake Tahoe,Truckee,1,0,2014-Q3
Enterprise Software,operating,USA,CA,SF Bay Area,Livermore,1,0,2013-Q4
News,operating,USA,MD,"Washington, D.C.",Rockville,2,7380000,2014-Q1
Security,operating,USA,IL,IL - Other,Saybrook,1,30000000,2011-Q1
Advertising,operating,USA,NY,New York City,New York,2,3200000,2013-Q3
Services,acquired,USA,MA,Boston,Marlborough,1,1999998,2011-Q1
Biotechnology,operating,USA,WA,Seattle,Shoreline,1,250000,2013-Q4
Enterprise Software,operating,USA,UT,Salt Lake City,Lindon,2,45000000,2013-Q3
Sales and Marketing,operating,USA,CA,Los Angeles,Los Angeles,2,20000000,2011-Q4
Nonprofits,operating,USA,MA,Boston,Boston,2,23000000,2014-Q1
Nonprofits,operating,USA,TX,San Antonio,San Antonio,1,2800000,2013-Q2
Recruiting,operating,USA,OH,"Columbus, Ohio",Columbus,2,90000,2014-Q2
Hardware + Software,operating,USA,IL,Chicago,Lake Zurich,1,10000000,2011-Q3
